IATA,ICAO,Name,Country,City,UTC,Latitude,Longitude
NCH,HTNA,Nachingwea Airport,Tanzania,Nachingwea,,,
NCI,SKNC,Necocli Airport,Colombia,Necocli,,,
NCJ,,Sunchales Aeroclub Airport,Argentina,Sunchales,,,
NCL,EGNT,Newcastle International Airport,United Kingdom,"Newcastle upon Tyne, Tyne and Wear",,,
NCN,PFCB,Chenega Bay Airport,United States of America,Chenega,,,
NCO,KOQU,Quonset State Airport,United States of America,North Kingstown,,,
NCR,MNSC,San Carlos Airport,Nicaragua,San Carlos,,,
NCS,FANC,Newcastle Airport,South Africa,Newcastle,,,
NCT,MRNC,Guanacaste Airport,Costa Rica,Nicoya/Guanacate,,,
NCU,UTNN,Nukus International Airport,Uzbekistan,Nukus,,,
NCY,LFLP,Annecy Meythet airport,France,Annecy,,,
NDA,WAPC,Bandanaira Airport,Indonesia,Bandanaira,,,
NDB,GQPP,Nouadhibou International Airport,Mauritania,Nouadhibou,,,
NDC,VAND,Nanded Airport,India,Nanded,,,
NDD,FNSU,Sumbe Airport,Angola,Sumbe,,,
NDE,HKMA,Mandera Airport,Kenya,Mandera,,,
NDF,,N'dalatando Airport,Angola,N'dalatando,,,
NDG,ZYQQ,Qiqihar Sanjiazi Airport,China,Qiqihar,,,
NDI,,Namudi Airport,Papua New Guinea,Namudi,,,
NDJ,FTTJ,N'Djamena International Airport,Chad,N'Djamena,,,
NDK,,Namorik Airport,Marshall Islands,Namorik Atoll,,,
NDL,FEFN,N'Délé Airport,Central African Republic,N'Délé,,,
NDM,HAMN,Mendi Airport,Ethiopia,Mendi,,,
NDN,,Nadunumu Airport,Papua New Guinea,Nadunumu,,,
NDR,GMMW,Nador Al Aaroui International Airport,Morocco,Al Aaroui,,,
NDS,YSAN,Sandstone Airport,Australia,Sandstone,,,
NDU,FYRU,Rundu Airport,Namibia,Rundu,,,
NDY,EGES,Sanday Airport,United Kingdom,Sanday,,,
NEC,SAZO,Necochea Airport,Argentina,Necochea,,,
NEG,MKNG,Negril Airport,Jamaica,Negril,,,
NEJ,HANJ,Nejjo Airport,Ethiopia,Nejo,,,
NEK,HANK,Nekemte Airport,Ethiopia,Nekemte,,,
NEL,KNEL,Lakehurst Maxfield Field Airport,United States of America,Lakehurst,,,
NEN,KNEN,Whitehouse Naval Outlying Field,United States of America,Jacksonville,,,
NER,UELL,Chulman Airport,Russia,Neryungri,,,
NEU,VLSN,Sam Neua Airport,Laos,,,,
NEV,TKPN,Vance W. Amory International Airport,Saint Kitts and Nevis,Charlestown,,,
NEW,KNEW,Lakefront Airport,United States of America,New Orleans,,,
NFG,USRN,Nefteyugansk Airport,Russia,Nefteyugansk,,,
NFL,KNFL,Fallon Naval Air Station,United States of America,Fallon,,,
NFO,NFTO,Mata'aho Airport,Tonga,"Angaha, Niuafo'ou Island",,,
NGA,YYNG,Young Airport,Australia,,,,
NGB,ZSNB,Ningbo Lishe International Airport,China,Ningbo,,,
NGD,TUPA,Captain Auguste George Airport,British Virgin Islands,Anegada,,,
NGE,FKKN,N'Gaoundéré Airport,Cameroon,N'Gaoundéré,,,
NGF,PHNG,Kaneohe Bay MCAS (Marion E. Carl Field) Airport,United States of America,Kaneohe,,,
NGI,NFNG,Ngau Airport,Fiji,Ngau,,,
NGK,UHSN,Nogliki Airport,Russia,Nogliki,,,
NGL,FANG,Ngala Airport,South Africa,Ngala,,,
NGO,RJGG,Chubu Centrair International Airport,Japan,Tokoname,,,
NGP,KNGP,Naval Air Station Corpus Christi Truax Field,United States of America,Corpus Christi,,,
NGQ,ZUAL,Ngari Gunsa Airport,China,Shiquanhe,,,
NGS,RJFU,Nagasaki Airport,Japan,Nagasaki,,,
NGU,KNGU,Norfolk Naval Station (Chambers Field),United States of America,Norfolk,,,
NGX,VNMA,Manang Airport,Nepal,Ngawal,,,
NHF,HSNW,New Halfa Airport,Sudan,New Halfa,,,
NHK,KNHK,Patuxent River Naval Air Station (Trapnell Field),United States of America,Patuxent River,,,
NHT,EGWU,RAF Northolt,United Kingdom,"Northolt, Greater London",,,
NHV,NTMD,Nuku Hiva Airport,French Polynesia,Nuku Hiva,,,
NHX,KNBJ,Naval Outlying Field Barin,United States of America,Foley,,,
NHZ,KBXM,Brunswick Executive Airport,United States of America,Brunswick,,,
NIA,GLNA,Nimba Airport,Liberia,Nimba,,,
NIB,PAFS,Nikolai Airport,United States of America,Nikolai,,,
NIF,YCNF,Camp Nifty Airport,Australia,,,,
NIG,NGNU,Nikunau Airport,Kiribati,Nikunau,,,
NIM,DRRN,Diori Hamani International Airport,Niger,Niamey,,,
NIO,FZBI,Nioki Airport,Democratic Republic of the Congo,Nioki,,,
NIP,KNIP,Jacksonville Naval Air Station (Towers Field),United States of America,Jacksonville,,,
NIS,AYSE,Simberi Airport,Papua New Guinea,Simberi Island,,,
NIT,LFBN,Niort - Marais Poitevin Airport,France,Niort/Souché,,,
NIU,NTKN,Naiu Airport,French Polynesia,Naiu Atoll,,,
NIX,GANR,Nioro du Sahel Airport,Mali,Nioro du Sahel,,,
NJC,USNN,Nizhnevartovsk Airport,Russia,Nizhnevartovsk,,,
NJF,ORNI,Al Najaf International Airport,Iraq,Najaf,,,
NJK,KNJK,El Centro NAF Airport (Vraciu Field),United States of America,El Centro,,,
NKB,YNKA,Noonkanbah Airport,Australia,,,,
NKC,GQNO,Nouakchott-Oumtounsy International Airport,Mauritania,Nouakchott,,,
NKD,,Sinak Airport,Indonesia,Sinak,,,
NKG,ZSNJ,Nanjing Lukou International Airport,China,Nanjing,,,
NKL,FZAR,N'Kolo-Fuma Airport,Democratic Republic of the Congo,N'Kolo-Fuma,,,
NKM,RJNA,Nagoya Airport / JASDF Komaki Air Base,Japan,Nagoya,,,
NKN,AYNA,Nankina Airport,Papua New Guinea,Gwarawon,,,
NKP,NTKU,Nukutepipi Airport,French Polynesia,Nukutepipi,,,
NKT,LTCV,Şırnak Şerafettin Elçi Airport,Turkey,Şırnak,,,
NKU,FXNK,Nkaus Airport,Lesotho,Nkaus,,,
NKW,FJDG,Naval Support Facility Diego Garcia,British Indian Ocean Territory,Diego Garcia,,,
NKX,KNKX,Miramar Marine Corps Air Station - Mitscher Field,United States of America,San Diego,,,
NKY,FCBY,Yokangassi Airport,Republic of the Congo,Nkayi,,,
NLA,FLSK,Simon Mwansa Kapwepwe International Airport,Zambia,Ndola,,,
NLC,KNLC,Lemoore Naval Air Station (Reeves Field) Airport,United States of America,Lemoore,,,
NLD,MMNL,Quetzalcóatl International Airport,Mexico,Nuevo Laredo,,,
NLE,,Jerry Tyler Memorial Airport,United States of America,Niles,,,
NLF,YDNI,Darnley Island Airport,Australia,Darnley Island,,,
NLG,PAOU,Nelson Lagoon Airport,United States of America,Nelson Lagoon,,,
NLH,,Ninglang Luguhu Airport,China,Ninglang,,,
NLI,UHNN,Nikolayevsk-na-Amure Airport,Russia,Nikolayevsk-na-Amure Airport,,,
NLK,YSNF,Norfolk Island International Airport,Norfolk Island,Burnt Pine,,,
NLL,YNUL,Nullagine Airport,Australia,,,,
NLN,,Kneeland Airport,United States of America,Kneeland,,,
NLO,FZAB,Ndolo Airport,Democratic Republic of the Congo,N'dolo,,,
NLP,FANS,Nelspruit Airport,South Africa,Nelspruit,,,
NLS,YNIC,Nicholson Airport,Australia,,,,
NLT,ZWNL,Xinyuan Nalati Airport,China,Xinyuan,,,
NLU,MMSM,Felipe Ángeles International Airport,Mexico,Mexico City,,,
NMA,UTFN,Namangan International Airport,Uzbekistan,Namangan,,,
NMB,VADN,Daman Airport,India,Daman,,,
NMC,MYEN,Normans Cay Airport,Bahamas,Normans Cay,,,
NME,PAGT,Nightmute Airport,United States of America,Nightmute,,,
NMF,VRDA,Maafaru International Airport,Maldives,Noonu Atoll,,,
NMG,,San Miguel Airport,Panama,Isla del Rey,,,
NMI,,Navi Mumbai International Airport,India,Navi Mumbai,,,
NML,,Fort McMurray / Mildred Lake Airport,Canada,Fort McMurray,,,
NMN,AYNO,Nomane Airport,Papua New Guinea,Namane,,,
NMP,YNMN,New Moon Airport,Australia,Basalt,,,
NMR,YNAP,Nappa Merrie Airport,Australia,,,,
NMS,VYNS,Namsang Airport,Myanmar,Namsang,,,
NNB,AGGT,Santa Ana Airport,Solomon Islands,Santa Ana Island,,,
NND,,Nangade Airport,Mozambique,Nangade,,,
NNG,ZGNN,Nanning Wuxu International Airport,China,Nanning (Jiangnan),,,
NNI,FYNA,Namutoni Airport,Namibia,Namutoni,,,
NNK,,Naknek Airport,United States of America,Naknek,,,
NNL,PANO,Nondalton Airport,United States of America,Nondalton,,,
NNM,ULAM,Naryan Mar Airport,Russia,Naryan Mar,,,
NNR,EICA,Connemara Regional Airport,Ireland,Inverin,,,
NNT,VTCN,Nan Airport,Thailand,,,,
NNU,SNNU,Nanuque Airport,Brazil,Nanuque,,,
NNX,WRLF,Nunukan Airport,Indonesia,Nunukan-Nunukan Island,,,
NNY,ZHNY,Nanyang Jiangying Airport,China,Nanyang (Wancheng),,,
NOA,YSNW,Naval Air Station Nowra - HMAS Albatross,Australia,Nowra Hill,,,
NOB,MRNS,Nosara Airport,Costa Rica,Nicoya,,,
NOC,EIKN,Ireland West Airport Knock,Ireland,Charlestown,,,
NOD,EDWS,Norden-Norddeich Airport,Germany,Norddeich,,,
NOG,MMNG,Nogales International Airport,Mexico,Nogales,,,
NOJ,USRO,Noyabrsk Airport,Russia,Noyabrsk,,,
NOK,SWXV,Xavantina Airport,Brazil,Nova Xavantina,,,
NOM,,Nomad River Airport,Papua New Guinea,Nomad River,,,
NON,NGTO,Nonouti Airport,Kiribati,Nonouti,,,
NOO,,Naoro Airport,Papua New Guinea,Naoro Vilage,,,
NOP,LTCM,Sinop Airport,Turkey,Sinop,,,
NOR,BINF,Norðfjörður Airport,Iceland,Norðfjörður,,,
NOS,FMNN,Nosy Be International Airport,Madagascar,Nosy Be,,,
NOT,KDVO,Marin County Airport - Gnoss Field,United States of America,Novato,,,
NOU,NWWW,La Tontouta International Airport,New Caledonia,Nouméa (La Tontouta),,,
NOV,FNHU,Albano Machado Airport,Angola,Huambo,,,
NOZ,UNWW,Spichenkovo Airport,Russia,Novokuznetsk,,,
NPA,KNPA,Naval Air Station Pensacola Forrest Sherman Field,United States of America,Pensacola,,,
NPE,NZNR,Hawke's Bay Airport,New Zealand,Napier,,,
NPG,,Nipa Airport,Papua New Guinea,Nipa,,,
NPH,,J. Randy McKnight Nephi Municipal Airport,United States of America,Nephi,,,
NPL,NZNP,New Plymouth Airport,New Zealand,New Plymouth,,,
NPO,WIOG,Nanga Pinoh Airport,Indonesia,Nanga Pinoh-Borneo Island,,,
NPP,YNPB,Napperby Airport,Australia,Napperby,,,
NPR,SJNP,Novo Progresso Airport,Brazil,Novo Progresso,,,
NPT,KUUU,Newport State Airport,United States of America,Newport,,,
NPU,,San Pedro Airport,Colombia,San Pedro de Urabá,,,
NQA,KNQA,Millington-Memphis Airport,United States of America,Millington,,,
NQI,KNQI,Kingsville Naval Air Station,United States of America,Kingsville,,,
NQL,SWNQ,Niquelândia Airport,Brazil,Niquelândia,,,
NQN,SAZN,Presidente Perón International Airport,Argentina,Neuquén,,,
NQT,EGBN,Nottingham City Airport,United Kingdom,"Nottingham, Nottinghamshire",,,
NQU,SKNQ,Reyes Murillo Airport,Colombia,Nuquí,,,
NQX,KNQX,Naval Air Station Key West/Boca Chica Field,United States of America,Key West,,,
NQY,EGHQ,Cornwall Airport Newquay,United Kingdom,Newquay,,,
NQZ,UACC,Nursultan Nazarbayev International Airport,Kazakhstan,Astana,,,
NRA,YNAR,Narrandera Airport,Australia,Narrandera,,,
NRB,KNRB,Naval Station Mayport / Admiral David L McDonald Field,United States of America,Jacksonville,,,
NRD,EDWY,Norderney Airport,Germany,Norderney,,,
NRE,WAPG,Namrole Airport,Indonesia,Namrole,,,
NRG,YNRG,Narrogin Airport,Australia,Narrogin,,,
NRI,,Grand Lake Regional Airport,United States of America,Afton,,,
NRK,ESSP,Norrköping Airport,Sweden,Norrköping,,,
NRL,EGEN,North Ronaldsay Airport,United Kingdom,North Ronaldsay,,,
NRM,GANK,Nara Airport,Mali,Nara,,,
NRN,EDLV,Weeze (Niederrhein) Airport,Germany,Weeze,,,
NRR,TJRV,José Aponte de la Torre Airport,Puerto Rico,Ceiba,,,
NRS,KNRS,Naval Outlying Field Imperial Beach (Ream Field),United States of America,Imperial Beach,,,
NRT,RJAA,Narita International Airport,Japan,Narita,,,
NRY,,Newry Airport,Australia,Newry,,,
NSE,KNSE,Whiting Field Naval Air Station - North,United States of America,Milton,,,
NSH,OINN,Nowshahr Airport,Iran,Nowshahr,,,
NSI,FKYS,Yaoundé Nsimalen International Airport,Cameroon,Yaoundé,,,
NSK,UOOO,Alykel International Airport,Russia,Norilsk,,,
NSL,KDVP,Slayton Municipal Airport,United States of America,Slayton,,,
NSM,YNSM,Norseman Aerodrome,Australia,Norseman,,,
NSN,NZNS,Nelson Airport,New Zealand,Nelson,,,
NSO,YSCO,Scone Airport,Australia,,,,
NST,VTSF,Nakhon Si Thammarat Airport,Thailand,Nakhon Si Thammarat,,,
NSV,YNSH,Noosa Airport,Australia,,,,
NTB,ENNO,Notodden Airport,Norway,Notodden,,,
NTC,,Paradise Island Airport,Mozambique,Santa Carolina,,,
NTD,KNTD,Point Mugu Naval Air Station (Naval Base Ventura Co),United States of America,Point Mugu,,,
NTE,LFRS,Nantes Atlantique Airport,France,Nantes,,,
NTG,ZSNT,Nantong Xingdong International Airport,China,Nantong (Tongzhou),,,
NTI,WASB,Stenkol Airport,Indonesia,Bintuni,,,
NTJ,,Manti-Ephraim Airport,United States of America,Manti,,,
NTL,YWLM,Newcastle Airport,Australia,Williamtown,,,
NTN,YNTN,Normanton Airport,Australia,Normanton,,,
NTO,GVAN,Agostinho Neto Airport,Cape Verde,Ponta do Sol,,,
NTQ,RJNW,Noto Satoyama Airport,Japan,Wajima,,,
NTR,MMAN,Del Norte International Airport,Mexico,Monterrey,,,
NTT,NFTP,Kuini Lavenia Airport,Tonga,Niuatoputapu,,,
NTU,KNTU,Oceana Naval Air Station,United States of America,Virginia Beach,,,
NTX,WION,Ranai Airport,Indonesia,Ranai-Natuna Besar Island,,,
NTY,FAPN,Pilanesberg International Airport,South Africa,Pilanesberg,,,
NUB,YNUM,Numbulwar Airport,Australia,,,,
NUD,HSNH,En Nahud Airport,Sudan,En Nahud,,,
NUE,EDDN,Nuremberg Airport,Germany,Nuremberg,,,
NUG,,Nuguria Airstrip,Papua New Guinea,Nuguria Island,,,
NUI,PAQT,Nuiqsut Airport,United States of America,Nuiqsut,,,
NUK,NTGW,Nukutavake Airport,French Polynesia,Nukutavake,,,
NUL,PANU,Nulato Airport,United States of America,Nulato,,,
NUM,OENN,Neom Bay Airport,Saudi Arabia,Sharma,,,
NUP,,Nunapitchuk Airport,United States of America,Nunapitchuk,,,
NUQ,KNUQ,Moffett Federal Airfield,United States of America,Mountain View,,,
NUR,YNUB,Nullabor Motel Airport,Australia,,,,
NUS,NVSP,Norsup Airport,Vanuatu,Norsup,,,
NUU,HKNK,Nakuru Lanet Airport,Kenya,Nakuru,,,
NUW,KNUW,Whidbey Island Naval Air Station (Ault Field),United States of America,Oak Harbor,,,
NUX,USMU,Novy Urengoy Airport,Russia,Novy Urengoy,,,
NVA,SKNV,Benito Salas Airport,Colombia,Neiva,,,
NVI,UTSA,Navoi International Airport,Uzbekistan,Navoi,,,
NVN,,Nervino Airport,United States of America,Beckwourth,,,
NVP,SWNA,Novo Aripuanã Airport,Brazil,Novo Aripuanã,,,
NVS,LFQG,Nevers-Fourchambault Airport,France,"Marzy, Nièvre",,,
NVT,SBNF,Ministro Victor Konder International Airport,Brazil,Navegantes,,,
NVY,,Neyveli Airport,India,Neyveli,,,
NWA,FMCI,Mohéli Bandar Es Eslam Airport,Comoros,Fomboni,,,
NWI,EGSH,Norwich Airport,United Kingdom,"Norwich, Norfolk",,,
NWT,,Nowata Airport,Papua New Guinea,Nowata,,,
NYA,USHN,Nyagan Airport,Russia,Nyagan,,,
NYE,HKNI,Nyeri Airport,Kenya,Nyeri,,,
NYG,KNYG,Quantico Marine Corps Airfield / Turner Field,United States of America,Quantico,,,
NYI,DGSN,Sunyani Airport,Ghana,Sunyani,,,
NYK,HKNL,Nanyuki Civil Airport,Kenya,Gathiuru,,,
NYM,USMM,Nadym Airport,Russia,Nadym,,,
NYN,YNYN,Nyngan Airport,Australia,,,,
NYO,ESKN,Stockholm Skavsta Airport,Sweden,Nyköping,,,
NYR,UENN,Nyurba Airport,Russia,Nyurba,,,
NYT,VYNT,Nay Pyi Taw International Airport,Myanmar,Naypyitaw,,,
NYU,VYBG,Bagan Airport,Myanmar,Nyaung U,,,
NYW,VYMY,Monywar Airport,Myanmar,Monywar,,,
NZA,FNZG,Nzagi Airport,Angola,Nzagi,,,
NZC,SPZA,Maria Reiche Neuman Airport,Peru,Nazca,,,
NZE,GUNZ,Nzérékoré Airport,Guinea,Nzérékoré,,,
NZG,UIUN,Nizhneangarsk International Airport,Russia,Nizhneangarsk,,,
NZH,ZBMZ,Manzhouli Xijiao Airport,China,Manzhouli,,,
NZL,ZBZL,Zhalantun Genghis Khan Airport,China,Zhalantun,,,
NZY,KNZY,North Island Naval Air Station-Halsey Field,United States of America,San Diego,,,
OAG,YORG,Orange Airport,Australia,Orange,,,
OAI,OAIX,Bagram Airfield,Afghanistan,Bagram,,,
OAJ,KOAJ,Albert J Ellis Airport,United States of America,Richlands,,,
OAK,KOAK,San Francisco Bay Oakland International Airport,United States of America,Oakland,,,
OAL,SSKW,Cacoal Airport,Brazil,Cacoal,,,
OAM,NZOU,Oamaru Airport,New Zealand,,,,
OAN,MHEA,El Arrayán Airport,Honduras,Olanchito,,,
OAR,KOAR,Marina Municipal Airport,United States of America,Marina,,,
OAS,OASA,Sharana Airstrip,Afghanistan,Sharana,,,
OAX,MMOX,Xoxocotlán International Airport,Mexico,Oaxaca,,,
OAZ,OAZI,Camp Shorabak Airfield,Afghanistan,Lashkar Gah,,,
OBC,HDOB,Obock Airport,Djibouti,Obock,,,
OBD,,Obano Airport,Indonesia,Obano,,,
OBE,KOBE,Okeechobee County Airport,United States of America,Okeechobee,,,
OBF,EDMO,Oberpfaffenhofen Airport,Germany,Weßling,,,
OBI,SNTI,Óbidos Municipal Airport,Brazil,Óbidos,,,
OBL,EBZR,Oostmalle Airfield,Belgium,Zoersel,,,
OBM,AYMB,Morobe Airport,Papua New Guinea,Morobe,,,
OBN,EGEO,Oban Airport,United Kingdom,North Connel,,,
OBO,RJCB,Tokachi-Obihiro Airport,Japan,Obihiro,,,
OBS,LFHO,Aubenas-South Ardèche Airport,France,"Lanas, Ardèche",,,
OBU,PAOB,Kobuk Airport,United States of America,Kobuk,,,
OBX,AYOB,Obo Airport,Papua New Guinea,Obo,,,
OCA,,Ocean Reef Club Airport,United States of America,Key Largo,,,
OCC,SECO,Francisco De Orellana Airport,Ecuador,Coca,,,
OCE,KOXB,Ocean City Municipal Airport,United States of America,Ocean City,,,
OCF,KOCF,Ocala International Airport - Jim Taylor Field,United States of America,Ocala,,,
OCH,KOCH,A L Mangham Jr. Regional Airport,United States of America,Nacogdoches,,,
OCJ,MKBS,Ian Fleming International Airport,Jamaica,Boscobel,,,
OCM,YBGD,Boolgeeda,Australia,,,,
OCN,KOKB,Oceanside Municipal Airport,United States of America,Oceanside,,,
OCS,,Corisco International Airport,Equatorial Guinea,Corisco Island,,,
OCV,SKOC,Aguas Claras Airport,Colombia,Ocaña,,,
OCW,KOCW,Warren Field,United States of America,Washington,,,
ODA,FEFW,Ouadda Airport,Central African Republic,Ouadda,,,
ODB,LEBA,Córdoba Airport,Spain,Córdoba,,,
ODC,,Oakdale Airport,United States of America,Oakdale,,,
ODD,YOOD,Oodnadatta Airport,Australia,,,,
ODE,EKOD,Odense Hans Christian Andersen Airport,Denmark,Odense,,,
ODH,EGVO,RAF Odiham,United Kingdom,"Hook, Hampshire",,,
ODJ,FEGO,Ouanda Djallé Airport,Central African Republic,Ouanda Djallé,,,
ODL,YCOD,Cordillo Downs Airport,Australia,Cordillo Downs,,,
ODN,WBGI,Long Seridan Airport,Malaysia,Long Seridan,,,
ODO,UIKB,Bodaybo Airport,Russia,Bodaybo,,,
ODR,YORV,Ord River Airport,Australia,Ord River,,,
ODS,UKOO,Odesa International Airport,Ukraine,Odesa,,,
ODW,KOKH,AJ Eisenberg Airport,United States of America,Oak Harbor,,,
ODY,VLOS,Oudomsay Airport,Laos,Oudomsay,,,
OEA,KOEA,O'Neal Airport,United States of America,Lawrenceville,,,
OEC,WPOC,Oecusse Route of the Sandalwood International Airport,East Timor,Oecussi-Ambeno,,,
OEM,SMPA,Vincent Fayks Airport,Suriname,Paloemeu,,,
OEO,KOEO,L O Simenstad Municipal Airport,United States of America,Osceola,,,
OER,ESNO,Örnsköldsvik Airport,Sweden,Örnsköldsvik,,,
OES,SAVN,Antoine de Saint Exupéry Airport,Argentina,San Antonio Oeste,,,
OFF,KOFF,Offutt Air Force Base,United States of America,Omaha,,,
OFI,DIOF,Ouango Fitini Airport,Ivory Coast,Ouango Fitini,,,
OFK,KOFK,Karl Stefan Memorial Airport,United States of America,Norfolk,,,
OFU,NSAS,Ofu Airport,American Samoa,Ofu,,,
OGA,KOGA,Ogallala Municipal Airport Searle Field,United States of America,Ogallala,,,
OGB,KOGB,Orangeburg Municipal Airport,United States of America,Orangeburg,,,
OGD,KOGD,Ogden Hinckley Airport,United States of America,Ogden,,,
OGE,,Ogeranang Airport,Papua New Guinea,,,,
OGG,PHOG,Kahului International Airport,United States of America,Kahului,,,
OGL,SYGO,Eugene F. Correia International Airport,Guyana,Ogle,,,
OGM,,Ogobsucum Airport,Panama,Ustupu,,,
OGN,ROYN,Yonaguni Airport,Japan,Yonaguni,,,
OGO,DIAU,Abengourou Airport,Ivory Coast,Abengourou,,,
OGR,FTTB,Bongor Airport,Chad,Bongor,,,
OGS,KOGS,Ogdensburg International Airport,United States of America,Ogdensburg,,,
OGU,LTCB,Ordu-Giresun Airport,Turkey,Ordu,,,
OGX,DAUU,Ain Beida Airport,Algeria,Ouargla,,,
OGZ,URMO,Vladikavkaz Beslan International Airport,Russia,Beslan,,,
OHA,NZOH,RNZAF Base Ohakea,New Zealand,,,,
OHB,,Ambohibary Airport,Madagascar,Moramanga,,,
OHD,LWOH,Ohrid St. Paul the Apostle Airport,North Macedonia,Ohrid,,,
OHE,ZYMH,Mohe Gulian Airport,China,Mohe,,,
OHH,UHSH,Okha Airport,Russia,Okha,,,
OHI,FYOS,Oshakati Airport,Namibia,Oshakati,,,
OHO,UHOO,Okhotsk Airport,Russia,Okhotsk,,,
OHR,EDXY,Wyk auf Föhr Airport,Germany,Wyk auf Föhr,,,
OHS,OOSH,Suhar International Airport,Oman,Suhar,,,
OHT,OPKT,Kohat Airport,Pakistan,Kohat,,,
OIA,SDOW,Ourilândia do Norte Airport,Brazil,Ourilândia do Norte,,,
OIC,KOIC,Lt Warren Eaton Airport,United States of America,Norwich,,,
OIM,RJTO,Oshima Airport,Japan,Izu Oshima,,,
OIR,RJEO,Okushiri Airport,Japan,Okushiri Island,,,
OIT,RJFO,Oita Airport,Japan,Oita,,,
OJC,KOJC,Johnson County Executive Airport,United States of America,Olathe,,,
OJU,WAFU,Tanjung Api Airport,Indonesia,Tojo Una-Una,,,
OKA,ROAH,Naha International Airport,Japan,Naha,,,
OKB,,Orchid Beach Airport,Australia,Orchid Beach,,,
OKC,KOKC,OKC Will Rogers World Airport,United States of America,Oklahoma City,,,
OKD,RJCO,Sapporo Okadama Airport,Japan,Sapporo,,,
OKE,RJKB,Okinoerabu Airport,Japan,Wadomari,,,
OKF,FYOO,Okaukuejo Airport,Namibia,Okaukuejo,,,
OKG,,Okoyo Airport,Republic of the Congo,Okoyo,,,
OKI,RJNO,Oki Global Geopark Airport,Japan,Okinoshima,,,
OKJ,RJOB,Okayama Momotaro Airport,Japan,Okayama,,,
OKK,KOKK,Kokomo Municipal Airport,United States of America,Kokomo,,,
OKL,WAJO,Oksibil Airport,Indonesia,Oksibil,,,
OKM,KOKM,Okmulgee Regional Airport,United States of America,Okmulgee,,,
OKN,FOGQ,Okondja Airport,Gabon,Okondja,,,
OKP,AYOJ,Oksapmin Airport,Papua New Guinea,Oksapmin,,,
OKQ,WAKO,Okaba Airport,Indonesia,Okaba,,,
OKR,YYKI,Yorke Island Airport,Australia,Yorke Island,,,
OKS,KOKS,Garden County Airport/King Rhiley Field,United States of America,Oshkosh,,,
OKT,UWUK,Oktyabrskiy Airport,Russia,Kzyl-Yar,,,
OKU,FYMO,Mokuti Lodge Airport,Namibia,Mokuti Lodge,,,
OKV,,Okao Airport,Papua New Guinea,Okao,,,
OKY,YBOK,Oakey Army Aviation Centre,Australia,,,,
OLA,ENOL,Ørland Airport,Norway,Ørland,,,
OLB,LIEO,Olbia Costa Smeralda Airport,Italy,Olbia (SS),,,
OLC,SDCG,Senadora Eunice Micheles Airport,Brazil,São Paulo De Olivença,,,
OLD,KOLD,Dewitt Field - Old Town Municipal Airport,United States of America,Old Town,,,
OLF,KOLF,L M Clayton Airport,United States of America,Wolf Point,,,
OLH,,Old Harbor Airport,United States of America,Old Harbor,,,
OLI,BIRF,Rif Airport,Iceland,Rif,,,
OLJ,NVSZ,North West Santo Airport,Vanuatu,Olpoi,,,
OLK,,Fuerte Olimpo Airport,Paraguay,Fuerte Olimpo,,,
OLL,FCOD,Oyo Ollombo Airport,Republic of the Congo,Oyo,,,
OLM,KOLM,Olympia Regional Airport,United States of America,Olympia,,,
OLO,LKOL,Olomouc Airport,Czechia,Olomouc,,,
OLP,YOLD,Olympic Dam Airport,Australia,Olympic Dam,,,
OLQ,,Olsobip Airport,Papua New Guinea,Olsobip,,,
OLR,,Salerno Airport,Afghanistan,Khost,,,
OLS,KOLS,Nogales International Airport,United States of America,Nogales,,,
OLU,KOLU,Columbus Municipal Airport,United States of America,Columbus,,,
OLV,KOLV,Olive Branch Airport,United States of America,Olive Branch,,,
OLZ,UEMO,Olyokminsk Airport,Russia,Olyokminsk,,,
OMA,KOMA,Eppley Airfield,United States of America,Omaha,,,
OMB,FOOH,Omboue Hospital Airport,Gabon,Omboue,,,
OMC,RPVO,Ormoc Airport,Philippines,Ormoc City,,,
OMD,FYOG,Oranjemund Airport,Namibia,Oranjemund,,,
OME,PAOM,Nome Airport,United States of America,Nome,,,
OMF,OJMF,King Hussein Air College,Jordan,Mafraq,,,
OMG,FYOE,Omega Airport,Namibia,Omega,,,
OMH,OITR,Urmia Airport,Iran,Urmia,,,
OMI,OIAJ,Omidiyeh Airport,Iran,Omidiyeh,,,
OMK,KOMK,Omak Airport,United States of America,Omak,,,
OMM,OOMX,Marmul Airport,Oman,Marmul,,,
OMN,UTTZ,Zomin Airport,Uzbekistan,Zomin,,,
OMO,LQMO,Mostar International Airport,Bosnia and Herzegovina,Mostar,,,
OMR,LROD,Oradea International Airport,Romania,Oradea,,,
OMS,UNOO,Omsk Central Airport,Russia,Omsk,,,
OMY,,Preah Vinhear Airport,Cambodia,Tbeng Meanchey,,,
ONB,,Ononge Airport,Papua New Guinea,Onange Mission,,,
OND,FYOA,Ondangwa Airport,Namibia,Ondangwa,,,
ONG,YMTI,Mornington Island Airport,Australia,,,,
ONI,WABD,Moanamani Airport,Indonesia,Moanamani,,,
ONJ,RJSR,Odate Noshiro Airport,Japan,Kitaakita,,,
ONK,UERO,Olenyok Airport,Russia,Olenyok,,,
ONL,KONL,O'Neill Municipal Airport-John L Baker Field,United States of America,O'Neill,,,
ONO,KONO,Ontario Municipal Airport,United States of America,Oregon,,,
ONP,KONP,Newport Municipal Airport,United States of America,Newport,,,
